ervaring,trainingtype,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0,3x10',117.7,429.2,10000,0,0
0,1',101.9,419.3,1001,0,0
0,2x10',128.5,412.5,101100,0,0
0,5x5',117.5,427.7,0,0,0
0,5x5',113.9,420.5,0,0,0
0,3x2000m,117.2,428.3,11,0,0
0,1',104.0,419.3,1001,0,0
0,1500m+500m,102.5,411.4,10010,0,0
0,3x4000m,118.0,428.3,1110,0,0
0,5x5',115.5,424.5,0,0,0
0,3x8',118.6,427.7,11111,0,0
0,3x10',118.3,431.6,10000,0,0
0,3x10',118.8,412.5,10000,0,0
0,3x2000m,122.4,420.3,11,0,0
0,3x2000m,115.4,419.0,11,0,0
0,3x8',119.0,427.7,11111,0,0
0,3x2000m,117.7,415.6,11,0,0
0,1',104.0,427.1,1001,0,0
0,3x2000m,117.8,415.6,11,0,0
0,3x2000m,129.9,420.3,11,0,0
0,1',101.0,420.8,1001,0,0
0,3x10',123.7,412.5,10000,0,0
0,3x7',116.5,428.3,11110,0,0
0,57',129.9,419.0,11101,0,0
0,3x20',126.0,423.2,10,0,0
0,1',102.5,419.3,1001,0,0
0,3x7',118.6,427.7,11110,0,0
0,3x2000m,121.3,427.7,11,0,0
0,1',103.2,431.6,1001,0,0
0,3x2000m,116.5,419.0,11,0,0
0,2x2000m,107.5,412.5,1100,0,0
0,3x10',118.8,431.6,10000,0,0
0,1',105.5,419.3,1001,0,0
0,3x2000m,117.9,428.3,11,0,0
0,1',112.0,424.5,1001,0,0
0,1000m+500m,106.9,427.7,10110,0,0
0,3x2000m,110.0,411.4,11,0,0
0,3x10',116.7,431.6,10000,0,0
0,1500m+500m,100.7,402.7,10010,0,0
0,3x2000m,109.9,411.4,11,0,0
0,3x7',119.3,428.3,11110,0,0
0,3x10',122.1,439.7,10000,0,0
0,3x10',118.2,439.7,10000,0,0
0,3x7',123.6,420.5,11110,0,0
0,3x7',124.6,449.0,11110,0,0
0,1',100.5,418.6,1001,0,0
0,1',101.9,418.6,1001,0,0
0,3x7',119.0,428.3,11110,0,0
0,3x2000m,115.7,428.3,11,0,0
0,3x2000m,116.0,420.3,11,0,0
0,2000m,106.4,419.0,1010,0,0
0,3x8',112.4,428.3,11111,0,0
0,3x2000m,111.5,415.6,11,0,0
0,3x7',120.1,428.3,11110,0,0
0,3x2000m,117.5,420.3,11,0,0
0,1',103.7,431.6,1001,0,0
0,3x10',114.1,431.6,10000,0,0
0,1',100.5,412.5,1001,0,0
0,1000m+500m,101.7,405.5,10110,0,0
0,1',104.3,431.6,1001,0,0
0,5x5',115.2,427.7,0,0,0
0,3x8',119.2,427.7,11111,0,0
0,1',105.3,412.5,1001,0,0
0,3x10',120.5,439.7,10000,0,0
0,3x2000m,115.8,419.0,11,0,0
0,2x10',119.3,419.3,101100,0,0
0,3x7',115.1,415.6,11110,0,0
0,3x2000m,119.2,428.3,11,0,0
0,3x10',102.2,412.5,10000,0,0
0,3x10',118.0,429.2,10000,0,0
0,1',102.1,431.6,1001,0,0
0,2000m,109.0,421.9,1010,0,0
0,3x7',114.9,415.6,11110,0,0
0,3x2000m,118.8,428.3,11,0,0
0,1000m+500m,105.8,427.7,10110,0,0
0,1500m+500m,107.6,420.3,10010,0,0
0,1000m+500m,102.1,428.3,10110,0,0
0,3x2000m,116.3,427.7,11,0,0
0,3x2000m,125.3,427.7,11,0,0
0,100m,91.5,423.2,11011,0,0
0,3x10',118.6,429.2,10000,0,0
0,1500m+500m,108.0,431.6,10010,0,0
0,3x2000m,126.1,420.3,11,0,0
0,3x2000m,120.9,428.3,11,0,0
0,1',103.1,418.6,1001,0,0
0,3x7',126.3,449.0,11110,0,0
0,1000m+500m,110.7,428.3,10110,0,0
0,1500m+500m,102.2,416.9,10010,0,0
0,2x2000m,112.8,412.5,1100,0,0
0,3x2000m,117.2,428.3,11,0,0
0,3x2000m,108.9,421.9,11,0,0
0,3x2000m,117.0,428.3,11,0,0
0,3x8',118.3,420.5,11111,0,0
0,3x2000m,114.6,427.7,11,0,0
0,3x7',121.9,428.3,11110,0,0
0,3x2000m,118.8,427.7,11,0,0
0,3x2000m,110.7,402.7,11,0,0
0,1500m+500m,102.1,420.3,10010,0,0
0,1',101.4,420.8,1001,0,0
0,3x7',120.1,428.3,11110,0,0
0,3x8',111.9,405.5,11111,0,0
0,3x10',115.4,419.3,10000,0,0
0,1500m+500m,108.6,432.4,10010,0,0
0,1',104.8,432.4,1001,0,0
0,2000m,104.5,411.4,1010,0,0
0,3x7',119.2,427.7,11110,0,0
0,3x8',116.3,420.5,11111,0,0
0,3x2000m,115.8,402.7,11,0,0
0,3x10',119.2,432.4,10000,0,0
