ervaring,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0.0,109.7,409.9,1111,0,1
0.0,109.8,409.9,1111,0,1
0.0,107.2,399.6,1111,0,1
0.0,107.7,399.6,1111,0,1
0.0,108.0,399.6,1111,0,1
0.0,108.9,399.6,1111,0,1
0.0,109.3,412.3,1111,0,1
0.0,110.8,412.3,1111,0,1
0.0,112.4,412.3,1111,0,1
0.0,112.7,412.3,1111,0,1
0.0,107.2,421.0,10011,0,1
0.0,106.5,421.0,10011,0,1
0.0,106.6,421.0,10011,0,1
0.0,106.8,421.0,10011,0,1
0.0,106.3,421.0,10011,0,1
0.0,106.1,421.0,10011,0,1
0.0,106.1,421.0,10011,0,1
0.0,103.8,421.0,10011,0,1
0.0,103.7,401.2,10011,0,1
0.0,103.8,401.2,10011,0,1
0.0,103.5,401.2,10011,0,1
0.0,103.4,401.2,10011,0,1
0.0,103.8,401.2,10011,0,1
0.0,103.7,401.2,10011,0,1
0.0,103.8,401.2,10011,0,1
0.0,102.7,401.2,10011,0,1
0.0,105.8,407.2,10011,0,1
0.0,106.6,407.2,10011,0,1
0.0,106.7,407.2,10011,0,1
0.0,106.8,407.2,10011,0,1
0.0,107.0,407.2,10011,0,1
0.0,106.7,407.2,10011,0,1
0.0,107.0,407.2,10011,0,1
0.0,106.3,407.2,10011,0,1
0.0,100.1,410.6,10011,0,1
0.0,102.9,410.6,10011,0,1
0.0,105.2,410.6,10011,0,1
0.0,105.9,410.6,10011,0,1
0.0,106.5,410.6,10011,0,1
0.0,108.2,410.6,10011,0,1
0.0,107.6,410.6,10011,0,1
0.0,107.4,410.6,10011,0,1
0.0,105.2,409.9,10011,0,1
0.0,105.8,409.9,10011,0,1
0.0,105.8,409.9,10011,0,1
0.0,105.8,409.9,10011,0,1
0.0,107.5,409.9,10011,0,1
0.0,111.4,409.9,10011,0,1
0.0,101.1,399.6,10011,0,1
0.0,103.2,399.6,10011,0,1
0.0,104.02000000000001,399.6,10011,0,1
0.0,105.8,399.6,10011,0,1
0.0,104.7,399.6,10011,0,1
0.0,111.7,399.6,10011,0,1
0.0,106.2,399.6,10011,0,1
0.0,104.6,399.6,10011,0,1
0.0,106.2,412.3,10011,0,1
0.0,108.6,412.3,10011,0,1
0.0,108.6,412.3,10011,0,1
0.0,108.4,412.3,10011,0,1
0.0,108.0,412.3,10011,0,1
0.0,109.6,412.3,10011,0,1
0.0,108.4,412.3,10011,0,1
0.0,107.9,412.3,10011,0,1
0.0,102.5,421.0,10011,0,1
0.0,102.1,421.0,10011,0,1
0.0,102.7,421.0,10011,0,1
0.0,103.8,421.0,10011,0,1
0.0,107.5,421.0,10011,0,1
0.0,106.3,421.0,10011,0,1
0.0,108.1,421.0,10011,0,1
0.0,107.1,421.0,10011,0,1
0.0,101.4,401.2,10011,0,1
0.0,104.8,401.2,10011,0,1
0.0,104.5,401.2,10011,0,1
0.0,106.3,401.2,10011,0,1
0.0,105.5,407.2,10011,0,1
0.0,105.7,407.2,10011,0,1
0.0,105.8,407.2,10011,0,1
0.0,105.7,407.2,10011,0,1
0.0,105.8,407.2,10011,0,1
0.0,105.8,407.2,10011,0,1
0.0,105.3,407.2,10011,0,1
0.0,104.1,407.2,10011,0,1
0.0,102.9,410.6,10011,0,1
0.0,103.0,410.6,10011,0,1
0.0,104.4,410.6,10011,0,1
0.0,106.1,410.6,10011,0,1
0.0,107.6,410.6,10011,0,1
0.0,108.4,410.6,10011,0,1
